date,code,name,score,rating,risk,confidence,reasons
2026-06-25,002436,兴森科技,79,★★★★☆,低,0.8600,趋势偏多；成交量低于滚动均量；动量较强；风险较低；v0.5 暂无相对强弱基准，按中性处理
2026-06-25,002156,通富微电,86,★★★★★,低,0.8200,趋势偏多；成交量信号中性；动量较强；风险较低；v0.5 暂无相对强弱基准，按中性处理
2026-06-25,600062,华润双鹤,42,★★☆☆☆,低,0.8200,趋势偏空；成交量信号中性；动量较弱；风险较低；v0.5 暂无相对强弱基准，按中性处理
2026-06-25,002262,恩华药业,47,★★☆☆☆,低,0.8200,趋势偏空；成交量信号中性；动量中等；风险较低；v0.5 暂无相对强弱基准，按中性处理
2026-06-25,600483,福能股份,49,★★☆☆☆,低,0.8200,趋势中性；成交量低于滚动均量；动量较弱；风险较低；v0.5 暂无相对强弱基准，按中性处理
2026-06-25,002201,九鼎新材,86,★★★★★,低,0.8200,趋势偏多；成交量信号中性；动量较强；风险较低；v0.5 暂无相对强弱基准，按中性处理
2026-06-26,600062,华润双鹤,43,★★☆☆☆,低,0.9000,趋势偏空；动量较弱；成交量低于滚动均量；风险较低；相对强弱分 54
2026-06-26,002156,通富微电,66,★★★☆☆,中,0.9400,趋势偏多；动量较强；成交量低于滚动均量；风险中等；相对强弱分 15
2026-06-26,002262,恩华药业,43,★★☆☆☆,低,0.9000,趋势偏空；动量较弱；成交量低于滚动均量；风险较低；相对强弱分 55
2026-06-26,002436,兴森科技,78,★★★★☆,低,0.9000,趋势偏多；动量较强；成交量低于滚动均量；风险较低；相对强弱分 31
2026-06-26,600483,福能股份,42,★★☆☆☆,低,0.9000,趋势偏空；动量较弱；成交量低于滚动均量；风险较低；相对强弱分 51
2026-06-26,002201,九鼎新材,85,★★★★★,低,0.9000,趋势偏多；动量较强；成交量低于滚动均量；风险较低；相对强弱分 64
2026-06-26,000901,航天科技,48,★★☆☆☆,低,0.9000,趋势偏空；动量较弱；成交量低于滚动均量；风险较低；相对强弱分 80
2026-06-26,600062,华润双鹤,51,★★☆☆☆,低,0.8600,趋势偏空；动量较弱；成交量信号中性；风险较低；相对强弱组合内排名 4/7；行业内排名 4/7
2026-06-26,002156,通富微电,100,★★★★★,低,0.9000,趋势偏多；动量较强；成交量突破确认；风险较低；相对强弱组合内排名 2/7；行业内排名 2/7
2026-06-26,002262,恩华药业,59,★★★☆☆,低,0.8600,趋势偏空；动量中等；成交量信号中性；风险较低；相对强弱组合内排名 3/7；行业内排名 3/7
2026-06-26,002436,兴森科技,92,★★★★★,低,0.9000,趋势偏多；动量较强；成交量低于滚动均量；风险较低；相对强弱组合内排名 1/7；行业内排名 1/7
2026-06-26,600483,福能股份,30,★☆☆☆☆,中,0.9400,趋势偏空；动量较弱；成交量低于滚动均量；风险中等；相对强弱组合内排名 6/7；行业内排名 6/7
2026-06-26,002201,九鼎新材,64,★★★☆☆,高,0.9500,趋势偏多；动量较强；成交量突破确认；风险较高；相对强弱组合内排名 7/7；行业内排名 7/7
2026-06-26,000901,航天科技,36,★☆☆☆☆,中,0.9400,趋势偏空；动量较弱；成交量低于滚动均量；风险中等；相对强弱组合内排名 5/7；行业内排名 5/7
2026-06-26,600062,华润双鹤,51,★★☆☆☆,低,0.8600,趋势偏空；动量较弱；成交量信号中性；风险较低；相对强弱组合内排名 4/7；行业内排名 4/7
2026-06-26,002156,通富微电,100,★★★★★,低,0.9000,趋势偏多；动量较强；成交量突破确认；风险较低；相对强弱组合内排名 2/7；行业内排名 2/7
2026-06-26,002262,恩华药业,59,★★★☆☆,低,0.8600,趋势偏空；动量中等；成交量信号中性；风险较低；相对强弱组合内排名 3/7；行业内排名 3/7
2026-06-26,002436,兴森科技,92,★★★★★,低,0.9000,趋势偏多；动量较强；成交量低于滚动均量；风险较低；相对强弱组合内排名 1/7；行业内排名 1/7
2026-06-26,600483,福能股份,30,★☆☆☆☆,中,0.9400,趋势偏空；动量较弱；成交量低于滚动均量；风险中等；相对强弱组合内排名 6/7；行业内排名 6/7
2026-06-26,002201,九鼎新材,64,★★★☆☆,高,0.9500,趋势偏多；动量较强；成交量突破确认；风险较高；相对强弱组合内排名 7/7；行业内排名 7/7
2026-06-26,000901,航天科技,36,★☆☆☆☆,中,0.9400,趋势偏空；动量较弱；成交量低于滚动均量；风险中等；相对强弱组合内排名 5/7；行业内排名 5/7
2026-06-26,600062,华润双鹤,52,★★☆☆☆,低,0.9000,趋势偏空；动量较弱；成交量信号中性；风险较低；相对强弱组合内排名 4/8；行业内排名 2/2
2026-06-26,002156,通富微电,78,★★★★☆,低,0.9000,趋势偏多；动量较强；成交量信号中性；风险较低；相对强弱组合内排名 8/8；行业内排名 2/2
2026-06-26,002262,恩华药业,61,★★★☆☆,低,0.9000,趋势偏空；动量中等；成交量信号中性；风险较低；相对强弱组合内排名 3/8；行业内排名 1/2
2026-06-26,002436,兴森科技,84,★★★★,低,0.9000,趋势偏多；动量较强；成交量低于滚动均量；风险较低；相对强弱组合内排名 6/8；行业内排名 1/1
2026-06-26,600483,福能股份,43,★☆☆☆☆,低,0.9000,趋势偏空；动量较弱；成交量低于滚动均量；风险较低；相对强弱组合内排名 7/8；行业内排名 1/1
2026-06-26,600667,太极实业,82,★★★★,高,0.9000,趋势偏多；动量较强；成交量突破确认；风险较高；相对强弱组合内排名 1/8；行业内排名 1/2
2026-06-26,002201,九鼎新材,78,★★★★☆,中,0.9000,趋势偏多；动量较强；成交量低于滚动均量；风险中等；相对强弱组合内排名 5/8；行业内排名 1/1
2026-06-26,000901,航天科技,72,★★★★☆,低,0.9000,趋势偏空；动量较强；成交量突破确认；风险较低；相对强弱组合内排名 2/8；行业内排名 1/1
2026-06-27,600062,华润双鹤,52,★★☆☆☆,低,0.9000,趋势偏空；动量较弱；成交量信号中性；风险较低；相对强弱组合内排名 4/8；行业内排名 1/2
2026-06-27,002156,通富微电,60,★★★☆☆,高,0.9000,趋势偏多；动量较强；成交量信号中性；风险较高；相对强弱组合内排名 8/8；行业内排名 2/2
2026-06-27,002262,恩华药业,43,★☆☆☆☆,低,0.9000,趋势偏空；动量较弱；成交量低于滚动均量；风险较低；相对强弱组合内排名 7/8；行业内排名 2/2
2026-06-27,002436,兴森科技,86,★★★★,低,0.9000,趋势偏多；动量较强；成交量低于滚动均量；风险较低；相对强弱组合内排名 5/8；行业内排名 1/1
2026-06-27,600483,福能股份,45,★☆☆☆☆,低,0.9000,趋势偏空；动量较弱；成交量低于滚动均量；风险较低；相对强弱组合内排名 6/8；行业内排名 1/1
2026-06-27,600667,太极实业,82,★★★★,高,0.9000,趋势偏多；动量较强；成交量突破确认；风险较高；相对强弱组合内排名 1/8；行业内排名 1/2
2026-06-27,002201,九鼎新材,81,★★★★,中,0.9000,趋势偏多；动量较强；成交量低于滚动均量；风险中等；相对强弱组合内排名 3/8；行业内排名 1/1
2026-06-27,000901,航天科技,72,★★★★☆,低,0.9000,趋势偏空；动量较强；成交量突破确认；风险较低；相对强弱组合内排名 2/8；行业内排名 1/1
